evidence_id,ticket_key,ticket_id,reason_for_attention,reason_rule_ids,primary_rule_id,source_evidence_ids,linked_deadline,linked_deadline_source,linked_deadline_kind,customer_id,priority_key,status_key,assigned_to,computed_age_hours,is_open,synthetic_flag
attention:TCK-1001,2,TCK-1001,open ticket has at least one SLA breach.,ATTENTION-OPEN-BREACH,ATTENTION-OPEN-BREACH,response_sla_breach:TCK-1001:SLA-RESPONSE-P1,2026-09-19T10:15:00+00:00,response_sla_breach:TCK-1001:SLA-RESPONSE-P1,response_sla_breach,CUST-A,P1,open,alice,2.0,1,1
attention:TCK-1003,4,TCK-1003,closed/resolved P1/P2 ticket breached an SLA (historical).,ATTENTION-P1P2-CLOSED-BREACH,ATTENTION-P1P2-CLOSED-BREACH,resolve_sla_breach:TCK-1003:SLA-RESOLVE-P1,2026-09-19T00:00:00+00:00,resolve_sla_breach:TCK-1003:SLA-RESOLVE-P1,resolve_sla_breach,CUST-A,P1,resolved,alice,16.0,0,1
attention:TCK-1004,5,TCK-1004,open ticket has at least one SLA breach.,ATTENTION-OPEN-BREACH,ATTENTION-OPEN-BREACH,resolve_sla_breach:TCK-1004:SLA-RESOLVE-P3,2026-09-17T12:00:00+00:00,resolve_sla_breach:TCK-1004:SLA-RESOLVE-P3,resolve_sla_breach,CUST-C,P3,open,cara,72.0,1,1
attention:TCK-1005,6,TCK-1005,P1/P2 deadline is approaching.,ATTENTION-APPROACHING-P1P2,ATTENTION-APPROACHING-P1P2,approaching_response:TCK-1005:SLA-RESPONSE-P2,2026-09-19T12:15:00+00:00,approaching_response:TCK-1005:SLA-RESPONSE-P2,approaching_response,CUST-B,P2,open,bob,0.75,1,1
attention:TCK-1007,8,TCK-1007,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:TCK-1007:DQ-UNKNOWN-PRIORITY,,,,CUST-A,Urgent,open,alice,4.0,1,1
attention:TCK-1008,9,TCK-1008,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:TCK-1008:DQ-MISSING-CREATED-AT,,,,CUST-B,P1,open,bob,,1,1
attention:TCK-1009,10,TCK-1009,open ticket has at least one SLA breach; waiting_customer for 25.0h (threshold 24.0h from status_updated_at).,ATTENTION-OPEN-BREACH|ATTENTION-WAITING-CUSTOMER,ATTENTION-OPEN-BREACH,resolve_sla_breach:TCK-1009:SLA-RESOLVE-P2,2026-09-18T18:00:00+00:00,resolve_sla_breach:TCK-1009:SLA-RESOLVE-P2,resolve_sla_breach,CUST-C,P2,waiting_customer,cara,26.0,1,1
attention:TCK-1012,13,TCK-1012,open ticket has an empty assigned_to field.,ATTENTION-UNASSIGNED,ATTENTION-UNASSIGNED,,,,,CUST-E,P3,open,,3.0,1,1
attention:TCK-1013,14,TCK-1013,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:TCK-1013:DQ-AMBIGUOUS-TIMESTAMP,,,,CUST-B,P2,open,bob,,1,1
attention:TCK-1014,15,TCK-1014,closed/resolved P1/P2 ticket breached an SLA (historical).,ATTENTION-P1P2-CLOSED-BREACH,ATTENTION-P1P2-CLOSED-BREACH,response_sla_breach:TCK-1014:SLA-RESPONSE-P1,2026-09-19T06:15:00+00:00,response_sla_breach:TCK-1014:SLA-RESPONSE-P1,response_sla_breach,CUST-A,P1,resolved,alice,6.0,0,1
attention:TCK-1015,16,TCK-1015,P1/P2 deadline is approaching.,ATTENTION-APPROACHING-P1P2,ATTENTION-APPROACHING-P1P2,approaching_resolve:TCK-1015:SLA-RESOLVE-P1,2026-09-19T12:30:00+00:00,approaching_resolve:TCK-1015:SLA-RESOLVE-P1,approaching_resolve,CUST-C,P1,in_progress,cara,3.5,1,1
attention:TCK-1017,18,TCK-1017,open ticket has at least one SLA breach.,ATTENTION-OPEN-BREACH,ATTENTION-OPEN-BREACH,resolve_sla_breach:TCK-1017:SLA-RESOLVE-P2,2026-09-18T20:00:00+00:00,resolve_sla_breach:TCK-1017:SLA-RESOLVE-P2,resolve_sla_breach,CUST-A,P2,waiting_customer,alice,24.0,1,1
attention:TCK-1019,20,TCK-1019,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:TCK-1019:DQ-TIMELINE-INCONSISTENT,,,,CUST-B,P2,open,bob,3.0,1,1
attention:TCK-1020,21,TCK-1020,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-21|dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-22,,,,CUST-E,P4,open,erin,96.0,1,1
attention:TCK-1020:row-22,22,TCK-1020,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-21|dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-22,,,,CUST-E,P4,open,erin,2.0,1,1
attention:TCK-1021,23,TCK-1021,open ticket has at least one SLA breach; open ticket has an empty assigned_to field.,ATTENTION-OPEN-BREACH|ATTENTION-UNASSIGNED,ATTENTION-OPEN-BREACH,response_sla_breach:TCK-1021:SLA-RESPONSE-P1|resolve_sla_breach:TCK-1021:SLA-RESOLVE-P1,2026-09-19T04:15:00+00:00,response_sla_breach:TCK-1021:SLA-RESPONSE-P1,response_sla_breach,CUST-C,P1,open,,8.0,1,1
attention:ROW-24,24,ROW-24,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:ROW-24:DQ-MISSING-TICKET-ID,,,,CUST-D,P3,open,dana,2.0,1,1
attention:TCK-1024,27,TCK-1024,open ticket has data-quality flags that block SLA calculation.,ATTENTION-DATA-QUALITY,ATTENTION-DATA-QUALITY,dq:TCK-1024:DQ-UNKNOWN-PRIORITY,,,,CUST-C,P5,open,cara,6.0,1,1
