ticket_key,ticket_id,ticket_id_instance,is_duplicate_ticket_id,csv_row_number,created_at,first_response_at,resolved_at,status_updated_at,priority_key,priority_raw,priority_normalized,status_key,status_raw,status_normalized,customer_id,assigned_to,ticket_type,category,summary,sla_eligible,response_sla_eligible,resolve_sla_eligible,is_open,is_closed,synthetic_flag
2,TCK-1001,1,0,2,2026-09-19T10:00:00+00:00,,,,P1,P1,P1,open,open,open,CUST-A,alice,incident,malware,Synthetic P1 still unanswered past 15m response SLA,1,1,1,1,0,1
3,TCK-1002,1,0,3,2026-09-19T08:00:00+00:00,2026-09-19T08:30:00+00:00,,,P2,P2,P2,in_progress,in_progress,in_progress,CUST-B,bob,incident,phishing,Synthetic P2 on track (negative control),1,1,1,1,0,1
4,TCK-1003,1,0,4,2026-09-18T20:00:00+00:00,2026-09-18T20:10:00+00:00,2026-09-19T01:00:00+00:00,,P1,P1,P1,resolved,resolved,resolved,CUST-A,alice,incident,ransomware,Synthetic P1 resolved 5h after create (4h resolve SLA),1,1,1,0,1,1
5,TCK-1004,1,0,5,2026-09-16T12:00:00+00:00,2026-09-16T14:00:00+00:00,,,P3,P3,P3,open,open,open,CUST-C,cara,incident,vulnerability,Synthetic P3 open 72h and 48h past resolve SLA,1,1,1,1,0,1
6,TCK-1005,1,0,6,2026-09-19T11:15:00+00:00,,,,P2,P2,P2,open,open,open,CUST-B,bob,alert,ids,Synthetic P2 unanswered with 15m left on 1h response SLA,1,1,1,1,0,1
7,TCK-1006,1,0,7,2026-09-17T12:00:00+00:00,2026-09-17T16:00:00+00:00,,,P4,P4,P4,open,open,open,CUST-D,dana,request,hardening,Synthetic P4 open exactly 48h (ageing,1,1,1,1,0,1
8,TCK-1007,1,0,8,2026-09-19T08:00:00+00:00,,,,Urgent,Urgent,,open,open,open,CUST-A,alice,incident,unknown,Synthetic unknown priority Urgent — do not map to P1,0,0,0,1,0,1
9,TCK-1008,1,0,9,,2026-09-19T11:00:00+00:00,,,P1,P1,P1,open,open,open,CUST-B,bob,incident,malware,Synthetic P1 missing created_at,0,0,0,1,0,1
10,TCK-1009,1,0,10,2026-09-18T10:00:00+00:00,2026-09-18T10:20:00+00:00,,2026-09-18T11:00:00+00:00,P2,P2,P2,waiting_customer,waiting_customer,waiting_customer,CUST-C,cara,incident,phishing,Synthetic P2 waiting 25h; resolve clock not paused,1,1,1,1,0,1
11,TCK-1010,1,0,11,2026-09-18T14:00:00+00:00,2026-09-18T16:00:00+00:00,,,P3,P3,P3,in_progress,in_progress,in_progress,CUST-D,dana,alert,ids,Synthetic P3 with 2h left on 24h resolve SLA,1,1,1,1,0,1
12,TCK-1011,1,0,12,2026-09-19T08:00:00+00:00,2026-09-19T08:05:00+00:00,2026-09-19T10:00:00+00:00,,P1,P1,P1,closed,closed,closed,CUST-A,alice,incident,malware,Synthetic P1 closed on time (negative control),1,1,1,0,1,1
