evidence_id,snapshot_id,ticket_row_key,ticket_id,finding_type,rule_id,client_key,priority_key,status_key,computed_deadline,hours_overdue,hours_remaining,clock_elapsed_hours,why_it_qualifies,reason_rule_ids,as_of_utc
dq:TCK-1007:DQ-UNKNOWN-PRIORITY,demo-2026-09-19T12-00-00Z,8:TCK-1007,TCK-1007,data_quality,DQ-UNKNOWN-PRIORITY,CUST-A,UNKNOWN,open,,,,,"priority='Urgent' is not in the documented catalog (P1/Critical, P2/High, P3/Medium, P4/Low). SLA is not guessed.",,2026-09-19T12:00:00+00:00
dq:TCK-1008:DQ-MISSING-CREATED-AT,demo-2026-09-19T12-00-00Z,9:TCK-1008,TCK-1008,data_quality,DQ-MISSING-CREATED-AT,CUST-B,P1,open,,,,,created_at is missing; response and resolve clocks cannot start.,,2026-09-19T12:00:00+00:00
dq:TCK-1013:DQ-AMBIGUOUS-TIMESTAMP,demo-2026-09-19T12-00-00Z,14:TCK-1013,TCK-1013,data_quality,DQ-AMBIGUOUS-TIMESTAMP,CUST-B,P2,open,,,,,created_at='yesterday morning' is not a timezone-aware ISO-8601 timestamp (Invalid isoformat string: 'yesterday morning'). SLA clocks that need this field are skipped.,,2026-09-19T12:00:00+00:00
dq:TCK-1017:DQ-AMBIGUOUS-WAIT-CLOCK,demo-2026-09-19T12-00-00Z,18:TCK-1017,TCK-1017,data_quality,DQ-AMBIGUOUS-WAIT-CLOCK,CUST-A,P2,waiting_customer,,,,,status is waiting_customer but status_updated_at is missing; wait-time attention is not guessed from created_at.,,2026-09-19T12:00:00+00:00
dq:TCK-1018:DQ-MISSING-RESOLVED-AT,demo-2026-09-19T12-00-00Z,19:TCK-1018,TCK-1018,data_quality,DQ-MISSING-RESOLVED-AT,CUST-D,P3,closed,,,,,status is resolved/closed but resolved_at is missing; resolve SLA is not guessed from as_of.,,2026-09-19T12:00:00+00:00
dq:TCK-1019:DQ-TIMELINE-INCONSISTENT,demo-2026-09-19T12-00-00Z,20:TCK-1019,TCK-1019,data_quality,DQ-TIMELINE-INCONSISTENT,CUST-B,P2,open,,,,,first_response_at is earlier than created_at; response SLA is skipped.,,2026-09-19T12:00:00+00:00
dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-21,demo-2026-09-19T12-00-00Z,21:TCK-1020,TCK-1020,data_quality,DQ-DUPLICATE-TICKET-ID,CUST-E,P4,open,,,,,ticket_id appears more than once; SLA is skipped because the canonical row cannot be chosen without guessing.,,2026-09-19T12:00:00+00:00
dq:TCK-1020:DQ-DUPLICATE-TICKET-ID:row-22,demo-2026-09-19T12-00-00Z,22:TCK-1020,TCK-1020,data_quality,DQ-DUPLICATE-TICKET-ID,CUST-E,P4,open,,,,,ticket_id appears more than once; SLA is skipped because the canonical row cannot be chosen without guessing.,,2026-09-19T12:00:00+00:00
dq:ROW-24:DQ-MISSING-TICKET-ID,demo-2026-09-19T12-00-00Z,24:ROW-24,ROW-24,data_quality,DQ-MISSING-TICKET-ID,CUST-D,P3,open,,,,,ticket_id is empty; row is not SLA-eligible and is labeled by row number only.,,2026-09-19T12:00:00+00:00
dq:TCK-1024:DQ-UNKNOWN-PRIORITY,demo-2026-09-19T12-00-00Z,27:TCK-1024,TCK-1024,data_quality,DQ-UNKNOWN-PRIORITY,CUST-C,UNKNOWN,open,,,,,"priority='P5' is not in the documented catalog (P1/Critical, P2/High, P3/Medium, P4/Low). SLA is not guessed.",,2026-09-19T12:00:00+00:00
