ticket_row_key,snapshot_id,row_number,ticket_id,client_key,priority_key,priority_raw,priority_display,status_key,status_raw,status_display,status_group,assigned_to,ticket_type,category,summary,created_at,first_response_at,resolved_at,status_updated_at,sla_eligible,response_sla_eligible,resolve_sla_eligible,is_open,is_closed,age_hours,waiting_hours,response_deadline,response_elapsed_hours,response_remaining_hours,response_overdue_hours,response_breached,resolve_deadline,resolve_elapsed_hours,resolve_remaining_hours,resolve_overdue_hours,resolve_breached,has_any_breach,has_approaching,approaching_response,approaching_resolve,is_ageing,is_waiting_attention,is_unassigned,is_dq_blocking_sla,is_python_attention,python_reason_rule_ids,dq_rule_ids,kpi_open,kpi_breached,kpi_approaching,kpi_ageing,kpi_ageing_python,exclusive_kpi_bucket,in_action_table,primary_reason_key,primary_reason_label,reason_sort,deadline,overdue_hours,remaining_hours,primary_clock_kind,why_for_attention,data_disclaimer
2:TCK-1001,demo-2026-09-19T12-00-00Z,2,TCK-1001,CUST-A,P1,P1,P1,open,open,open,Open,alice,incident,malware,Synthetic P1 still unanswered past 15m response SLA,2026-09-19T10:00:00+00:00,,,,1,1,1,1,0,2,,2026-09-19T10:15:00+00:00,2,-1.75,1.75,1,2026-09-19T14:00:00+00:00,2,2,0,0,1,0,0,0,0,0,0,0,1,ATTENTION-OPEN-BREACH,,1,1,0,0,0,breached,1,BREACHED_OPEN,SLA breached (open),1,2026-09-19T10:15:00+00:00,1.75,0,response,open ticket has at least one SLA breach.,Synthetic demonstration data
3:TCK-1002,demo-2026-09-19T12-00-00Z,3,TCK-1002,CUST-B,P2,P2,P2,in_progress,in_progress,in_progress,Open,bob,incident,phishing,Synthetic P2 on track (negative control),2026-09-19T08:00:00+00:00,2026-09-19T08:30:00+00:00,,,1,1,1,1,0,4,,2026-09-19T09:00:00+00:00,0.5,0.5,0,0,2026-09-19T16:00:00+00:00,4,4,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,,0,NONE,(none),99,,,,,,Synthetic demonstration data
4:TCK-1003,demo-2026-09-19T12-00-00Z,4,TCK-1003,CUST-A,P1,P1,P1,resolved,resolved,resolved,Closed,alice,incident,ransomware,Synthetic P1 resolved 5h after create (4h resolve SLA),2026-09-18T20:00:00+00:00,2026-09-18T20:10:00+00:00,2026-09-19T01:00:00+00:00,,1,1,1,0,1,16,,2026-09-18T20:15:00+00:00,0.1667,0.0833,0,0,2026-09-19T00:00:00+00:00,5,-1,1,1,1,0,0,0,0,0,0,0,1,ATTENTION-P1P2-CLOSED-BREACH,,0,1,0,0,0,breached,1,BREACHED_CLOSED,SLA breached (closed P1/P2),2,2026-09-19T00:00:00+00:00,1,0,resolve,closed/resolved P1/P2 ticket breached an SLA (historical).,Synthetic demonstration data
5:TCK-1004,demo-2026-09-19T12-00-00Z,5,TCK-1004,CUST-C,P3,P3,P3,open,open,open,Open,cara,incident,vulnerability,Synthetic P3 open 72h and 48h past resolve SLA,2026-09-16T12:00:00+00:00,2026-09-16T14:00:00+00:00,,,1,1,1,1,0,72,,2026-09-16T16:00:00+00:00,2,2,0,0,2026-09-17T12:00:00+00:00,72,-48,48,1,1,0,0,0,1,0,0,0,1,ATTENTION-OPEN-BREACH,,1,1,0,0,1,breached,1,BREACHED_OPEN,SLA breached (open),1,2026-09-17T12:00:00+00:00,48,0,resolve,open ticket has at least one SLA breach.,Synthetic demonstration data
6:TCK-1005,demo-2026-09-19T12-00-00Z,6,TCK-1005,CUST-B,P2,P2,P2,open,open,open,Open,bob,alert,ids,Synthetic P2 unanswered with 15m left on 1h response SLA,2026-09-19T11:15:00+00:00,,,,1,1,1,1,0,0.75,,2026-09-19T12:15:00+00:00,0.75,0.25,0,0,2026-09-19T19:15:00+00:00,0.75,7.25,0,0,0,1,1,0,0,0,0,0,1,ATTENTION-APPROACHING-P1P2,,1,0,1,0,0,approaching,1,APPROACHING,Approaching deadline,3,2026-09-19T12:15:00+00:00,0,0.25,response,Still unanswered and 0.25h remain before the P2 response deadline (1.0h window).,Synthetic demonstration data
7:TCK-1006,demo-2026-09-19T12-00-00Z,7,TCK-1006,CUST-D,P4,P4,P4,open,open,open,Open,dana,request,hardening,Synthetic P4 open exactly 48h (ageing,2026-09-17T12:00:00+00:00,2026-09-17T16:00:00+00:00,,,1,1,1,1,0,48,,2026-09-17T20:00:00+00:00,4,4,0,0,2026-09-20T12:00:00+00:00,48,24,0,0,0,0,0,0,1,0,0,0,0,,,1,0,0,1,1,ageing,1,AGEING,Ageing backlog,4,2026-09-20T12:00:00+00:00,0,24,ageing,Ticket is still open and age 48.0h meets or exceeds the 48.0h ageing-backlog threshold. This rule is independent of priority SLA clocks.,Synthetic demonstration data
8:TCK-1007,demo-2026-09-19T12-00-00Z,8,TCK-1007,CUST-A,UNKNOWN,Urgent,Urgent (unknown),open,open,open,Open,alice,incident,unknown,Synthetic unknown priority Urgent — do not map to P1,2026-09-19T08:00:00+00:00,,,,0,0,0,1,0,4,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-UNKNOWN-PRIORITY,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
9:TCK-1008,demo-2026-09-19T12-00-00Z,9,TCK-1008,CUST-B,P1,P1,P1,open,open,open,Open,bob,incident,malware,Synthetic P1 missing created_at,,2026-09-19T11:00:00+00:00,,,0,0,0,1,0,,,,,,,0,,,,,0,0,0,0,0,0,0,0,1,1,ATTENTION-DATA-QUALITY,DQ-MISSING-CREATED-AT,1,0,0,0,0,,1,DATA_QUALITY,Data quality,7,,,,,open ticket has data-quality flags that block SLA calculation.,Synthetic demonstration data
10:TCK-1009,demo-2026-09-19T12-00-00Z,10,TCK-1009,CUST-C,P2,P2,P2,waiting_customer,waiting_customer,waiting_customer,Open,cara,incident,phishing,Synthetic P2 waiting 25h; resolve clock not paused,2026-09-18T10:00:00+00:00,2026-09-18T10:20:00+00:00,,2026-09-18T11:00:00+00:00,1,1,1,1,0,26,25,2026-09-18T11:00:00+00:00,0.3333,0.6667,0,0,2026-09-18T18:00:00+00:00,26,-18,18,1,1,0,0,0,0,1,0,0,1,ATTENTION-OPEN-BREACH|ATTENTION-WAITING-CUSTOMER,,1,1,0,0,0,breached,1,BREACHED_OPEN,SLA breached (open),1,2026-09-18T18:00:00+00:00,18,0,resolve,open ticket has at least one SLA breach; waiting_customer for 25.0h (threshold 24.0h from status_updated_at).,Synthetic demonstration data
11:TCK-1010,demo-2026-09-19T12-00-00Z,11,TCK-1010,CUST-D,P3,P3,P3,in_progress,in_progress,in_progress,Open,dana,alert,ids,Synthetic P3 with 2h left on 24h resolve SLA,2026-09-18T14:00:00+00:00,2026-09-18T16:00:00+00:00,,,1,1,1,1,0,22,,2026-09-18T18:00:00+00:00,2,2,0,0,2026-09-19T14:00:00+00:00,22,2,0,0,0,1,0,1,0,0,0,0,0,,,1,0,1,0,0,approaching,1,APPROACHING,Approaching deadline,3,2026-09-19T14:00:00+00:00,0,2,resolve,Still open and 2.0h remain before the P3 resolve deadline (24.0h window).,Synthetic demonstration data
