evidence_id,ticket_key,ticket_id,finding_family,finding_type,rule_id,why_it_qualifies,computed_deadline,computed_age_hours,clock_elapsed_hours,hours_overdue,hours_remaining,clock_stop_at,customer_id,priority,status,assigned_to,synthetic_flag
response_sla_breach:TCK-1001:SLA-RESPONSE-P1,2,TCK-1001,sla_breach,response_sla_breach,SLA-RESPONSE-P1,"Response clock stopped at as_of (still unanswered) after the P1 response deadline (0.25h from created_at). Elapsed 2.0h, overdue 1.75h.",2026-09-19T10:15:00+00:00,2.0,2.0,1.75,0.0,2026-09-19T12:00:00+00:00,CUST-A,P1,open,alice,1
resolve_sla_breach:TCK-1003:SLA-RESOLVE-P1,4,TCK-1003,sla_breach,resolve_sla_breach,SLA-RESOLVE-P1,"Resolve clock stopped at resolved_at after the P1 resolve deadline (4.0h from created_at). Elapsed 5.0h, overdue 1.0h.",2026-09-19T00:00:00+00:00,16.0,5.0,1.0,0.0,2026-09-19T01:00:00+00:00,CUST-A,P1,resolved,alice,1
resolve_sla_breach:TCK-1004:SLA-RESOLVE-P3,5,TCK-1004,sla_breach,resolve_sla_breach,SLA-RESOLVE-P3,"Resolve clock stopped at as_of (still open) after the P3 resolve deadline (24.0h from created_at). Elapsed 72.0h, overdue 48.0h.",2026-09-17T12:00:00+00:00,72.0,72.0,48.0,0.0,2026-09-19T12:00:00+00:00,CUST-C,P3,open,cara,1
resolve_sla_breach:TCK-1009:SLA-RESOLVE-P2,10,TCK-1009,sla_breach,resolve_sla_breach,SLA-RESOLVE-P2,"Resolve clock stopped at as_of (still open) after the P2 resolve deadline (8.0h from created_at). Elapsed 26.0h, overdue 18.0h. waiting_customer does not pause the resolve clock under SLA catalog v1.",2026-09-18T18:00:00+00:00,26.0,26.0,18.0,0.0,2026-09-19T12:00:00+00:00,CUST-C,P2,waiting_customer,cara,1
response_sla_breach:TCK-1014:SLA-RESPONSE-P1,15,TCK-1014,sla_breach,response_sla_breach,SLA-RESPONSE-P1,"Response clock stopped at first_response_at after the P1 response deadline (0.25h from created_at). Elapsed 1.0h, overdue 0.75h.",2026-09-19T06:15:00+00:00,6.0,1.0,0.75,0.0,2026-09-19T07:00:00+00:00,CUST-A,P1,resolved,alice,1
resolve_sla_breach:TCK-1017:SLA-RESOLVE-P2,18,TCK-1017,sla_breach,resolve_sla_breach,SLA-RESOLVE-P2,"Resolve clock stopped at as_of (still open) after the P2 resolve deadline (8.0h from created_at). Elapsed 24.0h, overdue 16.0h. waiting_customer does not pause the resolve clock under SLA catalog v1.",2026-09-18T20:00:00+00:00,24.0,24.0,16.0,0.0,2026-09-19T12:00:00+00:00,CUST-A,P2,waiting_customer,alice,1
response_sla_breach:TCK-1021:SLA-RESPONSE-P1,23,TCK-1021,sla_breach,response_sla_breach,SLA-RESPONSE-P1,"Response clock stopped at as_of (still unanswered) after the P1 response deadline (0.25h from created_at). Elapsed 8.0h, overdue 7.75h.",2026-09-19T04:15:00+00:00,8.0,8.0,7.75,0.0,2026-09-19T12:00:00+00:00,CUST-C,P1,open,,1
resolve_sla_breach:TCK-1021:SLA-RESOLVE-P1,23,TCK-1021,sla_breach,resolve_sla_breach,SLA-RESOLVE-P1,"Resolve clock stopped at as_of (still open) after the P1 resolve deadline (4.0h from created_at). Elapsed 8.0h, overdue 4.0h.",2026-09-19T08:00:00+00:00,8.0,8.0,4.0,0.0,2026-09-19T12:00:00+00:00,CUST-C,P1,open,,1
approaching_response:TCK-1005:SLA-RESPONSE-P2,6,TCK-1005,approaching,approaching_response,SLA-RESPONSE-P2,Still unanswered and 0.25h remain before the P2 response deadline (1.0h window).,2026-09-19T12:15:00+00:00,0.75,0.75,0.0,0.25,2026-09-19T12:00:00+00:00,CUST-B,P2,open,bob,1
approaching_resolve:TCK-1010:SLA-RESOLVE-P3,11,TCK-1010,approaching,approaching_resolve,SLA-RESOLVE-P3,Still open and 2.0h remain before the P3 resolve deadline (24.0h window).,2026-09-19T14:00:00+00:00,22.0,22.0,0.0,2.0,2026-09-19T12:00:00+00:00,CUST-D,P3,in_progress,dana,1
